Frage;Antwort
"Nenne die drei Newtonschen Axiome.";"1. Trägheitsgesetz, 2. Grundgesetz F = m·a, 3. Wechselwirkung (actio = reactio)."
"Wie berechnet man mechanische Arbeit?";"W = F · s; 1 Ws = 1 Nm = 1 J."
"Formeln für potenzielle und kinetische Energie?";"E_pot = m·g·h; E_kin = ½·m·v²."
"Formel für die Federarbeit/-energie?";"W = ½ · c · s²."
"Wie lautet der Energieerhaltungssatz?";"E_End = E_Anfang + W_zu − W_ab – Energie geht nicht verloren, sie wandelt sich um."
"Wie berechnet man die Leistung?";"P = W / t = F · v (bei konstantem v), in Watt."
"Wie ist der Wirkungsgrad definiert?";"η = W_ab / W_zu = P_ab / P_zu; bei mehreren Stufen η_ges = η₁·η₂·…"
"Motor nimmt 5 kW auf, gibt 4 kW ab – Wirkungsgrad?";"η = 4/5 = 0,8 = 80 %."
"Was besagt die Goldene Regel der Mechanik?";"Einfache Maschinen sparen Kraft, aber nie Arbeit – was man an Kraft spart, legt man an Weg zu."
"Wie ist der Druck definiert?";"p = F / A; 1 Pa = 1 N/m², 1 bar = 10⁵ Pa."
"Formel für den Schweredruck?";"p_h = ρ · g · h – hängt nur von Dichte und Höhe ab, nicht von der Gefäßform."
"Wie funktioniert der hydraulische Hebebock?";"Gleicher Druck überall: F₁/F₂ = A₁/A₂ – große Fläche erzeugt große Kraft, dafür kleinerer Weg."
"Wie lautet die allgemeine Zustandsgleichung des idealen Gases?";"p · V / T = konstant."
"Warum schreibt man Einheiten immer mit?";"Weil die Einheitenkontrolle die billigste Fehlerprüfung ist – kommt die falsche Einheit heraus, stimmt die Formel nicht."
"Wie führt man Newton auf Basiseinheiten zurück?";"1 N = 1 kg·m/s² (aus F = m·a)."
"Wie führt man Pascal, Joule und Watt zurück?";"Pa = N/m², J = N·m = kg·m²/s², W = J/s."
"1 m² sind wie viele cm²?";"10 000 cm² – bei Flächen wird der Faktor quadriert."
"1 m³ sind wie viele dm³ bzw. Liter?";"1000 dm³ = 1000 Liter."
"Faustformel Masse in Kraft?";"1 t entspricht rund 10 kN (genau 9,81 kN)."
"Unterschied Masse und Gewichtskraft?";"Masse in kg (überall gleich), Gewichtskraft in N (F_G = m·g, hängt von g ab)."
"Wichte von Stahlbeton?";"25 kN/m³ – der wichtigste Wert für Eigenlasten."
"Wie schwer ist Stahl im Vergleich zu Beton?";"Etwa 3-mal so schwer (7,85 zu 2,4 t/m³)."
"Wodurch ist eine Kraft vollständig bestimmt?";"Durch Betrag, Richtung, Richtungssinn und Angriffspunkt."
"Was ist die Wirkungslinie?";"Die Gerade durch den Angriffspunkt in Kraftrichtung."
"Worauf musst du bei der Kraftzerlegung achten?";"Zu welcher Achse der Winkel gemessen wird – zur Waagerechten oder zur Senkrechten (sin und cos tauschen)."
"Warum brauchen Dachstühle Zugbänder?";"Die waagerechte Komponente der Strebenkraft drückt die Außenwände nach außen."
"Merkhilfe für Normal- und Hangabtriebskraft?";"cos gehört zur Normalkraft (bei 0° drückt alles senkrecht), sin zur Hangabtriebskraft (bei 0° kein Abrutschen)."
"Warum braucht man Schneefanggitter?";"Die Parallelkomponente der Schneelast lässt den Schnee abrutschen – je steiler das Dach, desto größer."
"Ab wann rutscht ein Körper auf schiefer Ebene?";"Wenn tan α > µ₀ – also wenn der Neigungswinkel größer als der Reibungswinkel ist."
"Spielt die Masse beim Rutschwinkel eine Rolle?";"Nein – sie kürzt sich heraus. Nur Winkel und Materialpaarung zählen."
"Wie berechnet man die Gleitsicherheit einer Stützmauer?";"η = µ·V / H (rückhaltende durch treibende Kraft), gefordert meist η ≥ 1,5."
"Federn in Reihe – wird es weicher oder steifer?";"Weicher: 1/c_res = Σ1/cᵢ. Parallel wird es steifer: c_res = Σcᵢ."
"Wie hängt das Hookesche Gesetz mit dem E-Modul zusammen?";"F = c·s beim Bauteil entspricht σ = E·ε beim Werkstoff – beides Kraft proportional zur Verformung."
"Was ist der Hebelarm genau?";"Der senkrechte Abstand der Wirkungslinie vom Drehpunkt – nicht die Entfernung zum Angriffspunkt."
"Warum legt man den Momentenbezugspunkt auf ein Auflager?";"Dann ist dessen Hebelarm null, die unbekannte Kraft fällt weg – es bleibt nur eine Unbekannte."
"Wie ersetzt man eine Gleichstreckenlast?";"Durch eine Einzellast F = q·l in Feldmitte. Auflagerkräfte dann A = B = q·l/2."
"Wie prüft man Auflagerkräfte?";"Probe: A + B muss die Summe aller Lasten ergeben."
"Wie berechnet man die Kippsicherheit?";"η = M_standsichernd / M_kippend, gefordert meist η ≥ 1,5."
"1 m/s sind wie viel km/h?";"3,6 km/h."
"Aus welcher Höhe fällt etwas mit 36 km/h auf?";"Aus 5 m – deshalb Helmpflicht und Absturzsicherung."
"Fallen schwere Körper schneller?";"Nein – ohne Luftwiderstand fallen alle gleich schnell."
"Warum haben Trennscheiben eine maximale Drehzahl?";"Weil die Umfangsgeschwindigkeit (meist max. 80 m/s) sonst überschritten wird und die Scheibe bersten kann."
"Wird beim Halten einer Last Arbeit verrichtet?";"Physikalisch nein – Arbeit erfordert einen Weg in Kraftrichtung."
"Warum steht bei Feder- und Beschleunigungsarbeit ein ½?";"Weil die Kraft dabei nicht konstant ist – im Mittel ist sie halb so groß."
"Wie berechnet man mehrere Wirkungsgrade hintereinander?";"Multiplizieren: η_ges = η₁·η₂·η₃ – nicht mitteln!"
"Wie kommt man von der Nutzlast zur Motorleistung?";"P_zu = P_ab / η_ges."
"Was besagt die Goldene Regel der Mechanik?";"Einfache Maschinen sparen Kraft, aber nie Arbeit – was man an Kraft spart, legt man an Weg zu."
"Warum haben Baumaschinen breite Ketten?";"p = F/A – größere Aufstandsfläche senkt die Bodenpressung (Faktor 7–10 gegenüber Rädern)."
"Wovon hängt der Schweredruck ab?";"Nur von Dichte und Höhe – nicht von der Gefäßform (hydrostatisches Paradoxon)."
"Faustregel Wassersäule und Druck?";"10 m Wasser ≈ 1 bar."
"Wie berechnet man die Wasserdruckkraft auf eine Wand?";"F = ρ·g·(h/2)·A – mit der halben Höhe, weil der Druck linear zunimmt."
"Wo greift die Wasserdruckkraft an?";"Im unteren Drittel der Wand."
"Was besagt das Archimedische Prinzip?";"Die Auftriebskraft entspricht der Gewichtskraft der verdrängten Flüssigkeit: F_A = ρ·g·V."
"Wann schwimmt ein Keller auf?";"Wenn die Auftriebskraft größer ist als das Eigengewicht – Nachweis η = G/F_A ≥ 1,1."
