Frage;Antwort
"Wie groß ist die Zwängungsspannung bei Stahl und 30 K?";"σ = 210 000 · 12·10⁻⁶ · 30 = 75,6 N/mm² – rund ein Drittel der Streckgrenze."
"Warum sprengt Frost Baustoffe?";"Wasser dehnt sich beim Gefrieren um etwa 9 % aus – der Druck übersteigt die Zugfestigkeit."
"Wie tief gründet man frostsicher?";"In Deutschland etwa 80 cm."
"Warum muss T in den Gasgesetzen in Kelvin stehen?";"Weil die Gesetze auf dem absoluten Nullpunkt beruhen – mit Celsius kämen falsche Verhältnisse heraus."
"Warum prüft man Reifendruck im kalten Zustand?";"Weil der Druck bei Erwärmung steigt (isochor) – warm gemessen ließe man fälschlich Luft ab."
"Was sagt die Wärmeleitfähigkeit λ aus?";"Wie gut ein Stoff Wärme leitet – kleiner Wert bedeutet gute Dämmung."
"λ von Stahlbeton und Mineralwolle?";"Beton 2,1 W/(m·K), Mineralwolle 0,035 – Faktor 60."
"Warum ist eine Balkonplatte eine Wärmebrücke?";"Stahlbeton durchdringt die Dämmebene und leitet Wärme nach außen – Lösung: thermisch getrennter Anschluss (Isokorb)."
"Wie berechnet man mehrschichtige Wände?";"Die Wärmedurchlasswiderstände addieren: R = l/λ je Schicht, dann R_ges = ΣR."
"Warum liefert die Dämmschicht fast den ganzen Dämmwert?";"Weil R = l/λ bei kleinem λ sehr groß wird – 14 cm Dämmung ergeben etwa 94 % des Gesamtwiderstands."
"Warum ist Wasser ein so guter Wärmeträger?";"Wegen der hohen spezifischen Wärmekapazität von 4,19 kJ/(kg·K) – rund 9-mal so hoch wie Stahl."
"Was ist thermische Speichermasse?";"Massive Bauteile speichern viel Wärme (C = c·m) – sie heizen sich langsamer auf und kühlen langsamer aus."
"Wie prüft man eine Mischtemperatur auf Plausibilität?";"Sie muss zwischen den beiden Ausgangstemperaturen liegen – näher an der Seite mit der größeren Masse."
"Warum bleibt die Temperatur beim Schmelzen konstant?";"Die gesamte Energie geht in die Umwandlung des Aggregatzustands (latente Wärme)."
"Wie viel Energie braucht 1 kg Eis zum Schmelzen?";"334 kJ – damit könnte man 1 kg Wasser um 80 K erwärmen."
"Wie viel braucht 1 kg Wasser zum Verdampfen?";"2257 kJ – fast 7-mal mehr als zum Schmelzen."
"Wie viele Joule hat 1 kWh?";"3,6 · 10⁶ J = 3600 kJ."
"Wie rechnet man den Jahresheizbedarf ab?";"Q = Verlustleistung · Vollbenutzungsstunden, dann durch den Kesselwirkungsgrad teilen."
